s_name,classification,schemecode,return_year1,return_year2,return_year3,return_year4,return_year5,return_year6,return_year7,return_year8,return_year9,return_year10,rank_year1,rank_year2,rank_year3,rank_year4,rank_year5,rank_year6,rank_year7,rank_year8,rank_year9,rank_year10,return_month1,return_month2,return_month3,return_month4,return_month5,return_month6,return_month7,return_month8,return_month9,return_month10,rank_month1,rank_month2,rank_month3,rank_month4,rank_month5,rank_month6,rank_month7,rank_month8,rank_month9,rank_month10,return_quarter1,return_quarter2,return_quarter3,return_quarter4,return_quarter5,return_quarter6,return_quarter7,return_quarter8,return_quarter9,return_quarter10,rank_quarter1,rank_quarter2,rank_quarter3,rank_quarter4,rank_quarter5,rank_quarter6,rank_quarter7,rank_quarter8,rank_quarter9,rank_quarter10,avg_year1,avg_year2,avg_year3,avg_year4,avg_year5,avg_year6,avg_year7,avg_year8,avg_year9,avg_year10,avg_month1,avg_month2,avg_month3,avg_month4,avg_month5,avg_month6,avg_month7,avg_month8,avg_month9,avg_month10,avg_quarter1,avg_quarter2,avg_quarter3,avg_quarter4,avg_quarter5,avg_quarter6,avg_quarter7,avg_quarter8,avg_quarter9,avg_quarter10,num_funds_year1,num_funds_year2,num_funds_year3,num_funds_year4,num_funds_year5,num_funds_year6,num_funds_year7,num_funds_year8,num_funds_year9,num_funds_year10,num_funds_month1,num_funds_month2,num_funds_month3,num_funds_month4,num_funds_month5,num_funds_month6,num_funds_month7,num_funds_month8,num_funds_month9,num_funds_month10,num_funds_quater10,num_funds_quater9,num_funds_quater8,num_funds_quater7,num_funds_quater6,num_funds_quater5,num_funds_quater4,num_funds_quater3,num_funds_quater2,num_funds_quater1
SBI Nifty 50 ETF,Equity : ETFs,33369,21.25,5.61,25.47,15.71,13.44,4.61,30.16,4.47,-,-,86,42,41,34,20,19,20,15,-,-,1.24,1.56,1.31,0.01,7.93,5.59,-2.75,1.99,-2.3,3.06,89,74,90,105,72,93,63,58,98,69,2.91,10.83,2.69,11.02,-4.04,6.04,8.69,-9.12,0.83,-1.31,87,84,85,88,59,52,59,53,28,52,28.47,3.94,27.55,13.11,8.95,0.95,32.5,5.06,-4.48,36.67,2.72,0.73,2.68,1.58,8,7.04,-2.91,2.49,-0.98,3.83,5.13,12.17,5.33,12.52,-3.29,4.87,9.9,-9.47,-0.93,-0.47,122,93,72,61,53,47,43,37,-,-,149,147,145,141,141,141,138,136,134,129,84,93,103,103,117,122,129,129,138,141
SBI S&P BSE Sensex ETF,Equity : ETFs,20447,20.27,5.72,23.16,17.04,15.58,7.15,29.45,3.37,-2.97,31.11,101,30,51,15,9,7,33,31,12,14,1.13,1.58,1.16,-0.65,7.84,4.95,-2.86,1.53,-2.33,2.91,107,58,104,113,87,109,76,96,107,82,2.09,9.94,2.06,10.37,-2.89,6.12,8.61,-8.91,0.7,-1.34,97,101,97,108,38,35,71,33,42,59,28.47,3.94,27.55,13.11,8.95,0.95,32.5,5.06,-4.48,36.67,2.72,0.73,2.68,1.58,8,7.04,-2.91,2.49,-0.98,3.83,5.13,12.17,5.33,12.52,-3.29,4.87,9.9,-9.47,-0.93,-0.47,122,93,72,61,53,47,43,37,25,20,149,147,145,141,141,141,138,136,134,129,84,93,103,103,117,122,129,129,138,141
HDFC Balanced Advantage Fund(G),Hybrid : Dynamic Asset Allocation,1273,31.3,18.78,26.36,7.57,6.89,-0.78,35.42,6.59,-0.37,42.85,1,1,1,17,13,12,1,4,11,2,3.67,0.52,1.15,3.89,6.57,6.01,-1.53,3.66,0.71,4.58,2,20,22,3,4,2,18,2,4,3,5.64,11.25,9.17,8.85,-0.68,7.29,8.63,-2.15,4.14,-1.76,5,2,3,3,7,1,3,2,2,21,18.6,3.87,13.88,12.21,7.7,1.12,20.1,5.49,3.55,34.53,2.06,0.73,1.54,1.7,4.64,4.33,-1.47,1.49,0.06,2.55,4.04,7.63,4.16,7.8,-1.48,2.64,6.26,-4.74,-0.01,0.23,24,22,19,19,16,14,12,11,11,8,32,31,30,30,28,28,27,27,26,26,21,22,22,22,24,24,25,26,27,30
SBI Liquid Fund-Reg(G),Debt : Liquid,2828,6.95,4.76,3.27,4.18,6.51,7.31,6.55,7.59,8.28,9.04,25,21,10,13,18,23,25,19,21,22,0.6,0.65,0.58,0.6,0.6,0.56,0.56,0.56,0.55,0.57,25,8,20,23,25,25,26,20,26,22,1.84,1.73,1.69,1.69,1.66,1.6,1.26,0.97,0.86,0.87,17,27,23,22,18,13,20,24,26,5,6.92,4.76,3.23,4.03,6.47,6.91,6.62,7.57,8.3,9.07,0.6,0.63,0.58,0.59,0.6,0.56,0.57,0.55,0.55,0.57,1.81,1.73,1.68,1.68,1.64,1.58,1.26,0.98,0.87,0.85,35,35,34,34,32,30,30,29,29,29,37,37,37,37,37,37,37,37,37,36,35,35,35,35,35,35,36,36,37,37
SBI Equity Hybrid Fund-Reg(G),Hybrid : Equity Oriented,2747,16.41,2.27,23.6,12.9,13.49,-0.06,27.66,3.7,7.36,43.24,28,34,17,22,7,16,7,27,4,10,2.51,3,0.25,0.98,4.88,4.06,-1.58,1.56,-0.4,2.78,18,1,52,35,25,29,31,11,44,19,4.27,7.41,3.97,9.34,-4.66,1.9,8.62,-7.74,0.15,-0.16,15,26,25,18,53,39,12,46,22,41,17.08,2.69,19.36,11.92,7.58,-1.41,20.48,6.33,3.95,34.33,2.21,0.77,1.29,1.41,3.94,3.95,-1.34,1.15,0.14,2.46,3.51,6.59,3.79,7.48,-1.59,2.68,6.29,-5.35,-0.54,0.42,55,55,53,52,47,38,36,33,29,24,56,56,56,56,56,56,56,55,55,55,53,55,55,55,55,55,55,55,56,56
Parag Parikh Flexi Cap Fund-Reg(G),Equity : Flexi Cap,21520,36.57,-7.23,45.51,32.29,14.43,-0.43,29.36,3.28,8.94,44.82,3,30,3,3,4,4,19,12,3,13,2.74,0.04,3.85,2.4,4.77,6.62,-0.12,2.41,-0.52,3.24,39,36,4,16,44,34,2,14,30,27,6.38,11.57,5.18,12.19,3.73,2.06,6.26,-11.08,-3.8,3.76,16,19,30,29,1,25,35,23,23,5,28.36,0.44,33.22,17.62,9.98,-5.03,36.15,4.25,1.92,52.71,4.13,0.86,2.01,1.89,6.8,7.24,-2.54,1.97,0.47,3.77,4.95,11.62,6.35,12.91,-4.01,2.6,11.24,-10.26,-2.27,0.87,39,33,29,26,26,23,21,21,19,18,47,47,47,46,46,45,45,44,43,43,33,33,35,35,39,39,41,43,45,46
HDFC Mid-Cap Opportunities Fund(G),Equity : Mid Cap,1305,44.47,12.29,39.91,21.75,0.2,-11.2,41.66,11.35,5.81,76.63,4,2,18,16,14,9,13,2,18,9,4.27,-0.11,1.37,4.57,6.67,7.98,-2.61,2.28,2.72,5.6,29,22,16,8,8,21,13,9,22,11,5.88,12.18,10.95,19.3,-2.7,4.7,17.2,-7.97,-0.56,0.34,10,13,13,2,7,3,5,4,4,17,36.87,2.52,44.05,24.02,3.22,-11.45,42.34,4.33,8.82,71.5,6.33,0.25,1.23,3.21,5.51,8.97,-2.74,1.6,3.28,4.92,4.75,11.82,10.1,15.84,-4.03,0.51,15.09,-9.11,-2.56,1.6,30,25,24,23,22,21,20,20,20,19,30,30,30,30,30,30,30,30,30,30,25,25,25,25,27,30,30,30,30,30
HDFC Liquid Fund(G),Debt : Liquid,1286,6.95,4.77,3.21,4.11,6.52,7.23,6.53,7.59,8.35,9.1,23,20,26,20,17,25,26,21,13,12,0.62,0.65,0.59,0.6,0.6,0.56,0.56,0.56,0.56,0.57,11,2,4,24,21,23,31,12,23,25,1.86,1.73,1.69,1.7,1.66,1.59,1.26,0.97,0.86,0.85,5,29,22,16,16,17,23,21,22,15,6.92,4.76,3.23,4.03,6.47,6.91,6.62,7.57,8.3,9.07,0.6,0.63,0.58,0.59,0.6,0.56,0.57,0.55,0.55,0.57,1.81,1.73,1.68,1.68,1.64,1.58,1.26,0.98,0.87,0.85,35,35,34,34,32,30,30,29,29,29,37,37,37,37,37,37,37,37,37,36,35,35,35,35,35,35,36,36,37,37
ICICI Pru Balanced Advantage Fund(G),Hybrid : Dynamic Asset Allocation,1470,16.52,7.9,15.14,11.71,10.79,2.44,19.01,7.35,6.7,29.04,19,3,9,11,3,5,6,3,1,5,0.96,1.45,1.93,1.2,3.46,3.62,-0.49,1.46,0.39,1.92,30,3,8,14,26,23,1,12,7,22,4.64,6.69,3.81,5.88,-0.64,2.78,5.11,-1.25,1.14,0.97,8,18,10,24,6,12,16,1,3,4,18.6,3.87,13.88,12.21,7.7,1.12,20.1,5.49,3.55,34.53,2.06,0.73,1.54,1.7,4.64,4.33,-1.47,1.49,0.06,2.55,4.04,7.63,4.16,7.8,-1.48,2.64,6.26,-4.74,-0.01,0.23,24,22,19,19,16,14,12,11,11,8,32,31,30,30,28,28,27,27,26,26,21,22,22,22,24,24,25,26,27,30
ICICI Pru Bluechip Fund(G),Equity : Large Cap,4980,27.39,6.85,29.17,13.49,9.77,-0.81,32.75,7.74,-0.21,41.1,9,5,9,22,21,11,10,6,17,15,1.72,2.45,2.57,3.05,7.12,6.87,-2.17,2.85,-1.01,4.12,31,6,17,7,23,11,4,5,14,9,8.29,12,6,10.74,-3.1,6.43,8.3,-7.81,0.55,0.57,5,11,6,27,10,3,31,7,5,9,24.08,2.41,25.87,14.65,10.95,-2.17,31.3,4.13,1.2,42.67,2.75,1.66,2.35,1.6,7.39,6.47,-2.72,1.91,-1.1,3.4,5.75,11.23,4.22,11.7,-4.18,4.22,9.98,-9.32,-1.53,-0.63,36,34,33,31,30,30,28,28,28,28,37,37,36,36,36,36,36,36,36,36,34,34,34,34,35,36,36,36,36,36
