MF Code,fund_house,s_name1,s_name,rupeevest_rating,rank_3year,ytd_returns,returns_1month,returns_6month,returns_3month,returns_1year,returns_3year,returns_5year,aumtotal,expenceratio,schemecode
SBI Nifty 50 ETF,SBI Mutual Fund,SBI Nifty 50 ETF,SBI Nifty 50 ETF,Unrated,41,3.75,1.35,13.74,1.85,23.81,16.41,15.98,179764.58,0.04,33369
SBI Nifty 50 ETF,Nippon India Mutual Fund,CPSE ETF,CPSE ETF,Unrated,1,31.54,4.05,53.86,8.39,104.36,51.83,27.36,39197.32,0.05,27621
SBI Nifty 50 ETF,Nippon India Mutual Fund,Nippon India ETF Nifty Midcap 150,Nippon India ETF Nifty Midcap 150,Unrated,7,11.62,4.32,22.76,5.38,55.62,28.08,26.68,1377.97,0.21,40028
SBI Nifty 50 ETF,Motilal Oswal Mutual Fund,Motilal Oswal Nifty Midcap 100 ETF,Motilal Oswal Nifty Midcap 100 ETF,Unrated,5,11.9,3.91,22.82,4.19,56.96,28.78,25.84,403.56,0.23,13595
SBI Nifty 50 ETF,Motilal Oswal Mutual Fund,Motilal Oswal Nasdaq 100 ETF,Motilal Oswal Nasdaq 100 ETF,Unrated,30,10.96,4.66,17.57,5.59,40.42,17.05,24.05,7263.69,0.58,13397
SBI S&P BSE Sensex ETF,SBI Mutual Fund,SBI S&P BSE Sensex ETF,SBI S&P BSE Sensex ETF,Unrated,53,2.69,1.22,12.04,1.93,20.41,16.11,15.84,109812.59,0.04,20447
SBI S&P BSE Sensex ETF,Nippon India Mutual Fund,CPSE ETF,CPSE ETF,Unrated,1,31.54,4.05,53.86,8.39,104.36,51.83,27.36,39197.32,0.05,27621
SBI S&P BSE Sensex ETF,Nippon India Mutual Fund,Nippon India ETF Nifty Midcap 150,Nippon India ETF Nifty Midcap 150,Unrated,7,11.62,4.32,22.76,5.38,55.62,28.08,26.68,1377.97,0.21,40028
SBI S&P BSE Sensex ETF,Motilal Oswal Mutual Fund,Motilal Oswal Nifty Midcap 100 ETF,Motilal Oswal Nifty Midcap 100 ETF,Unrated,5,11.9,3.91,22.82,4.19,56.96,28.78,25.84,403.56,0.23,13595
SBI S&P BSE Sensex ETF,Motilal Oswal Mutual Fund,Motilal Oswal Nasdaq 100 ETF,Motilal Oswal Nasdaq 100 ETF,Unrated,30,10.96,4.66,17.57,5.59,40.42,17.05,24.05,7263.69,0.58,13397
HDFC Balanced Advantage Fund(G),HDFC Mutual Fund,HDFC Balanced Advantage Fund(G),HDFC Balanced Advantage Fund(G),4,1,10.61,3.05,19.41,3.84,39.11,24.53,19.55,83548.61,1.38,1273
HDFC Balanced Advantage Fund(G),Baroda BNP Paribas Mutual Fund,Baroda BNP Paribas Balanced Advantage Fund-Reg(G),Baroda BNP Paribas Balanced Advantage Fund-Reg(G),5,3,6.79,1.8,13.94,3.7,25.46,14.51,15.86,3805.37,1.9,38263
HDFC Balanced Advantage Fund(G),Edelweiss Mutual Fund,Edelweiss Balanced Advantage Fund-Reg(G),Edelweiss Balanced Advantage Fund-Reg(G),5,4,7.46,2.54,14.67,3.54,24.83,13.76,15.16,11135.73,1.68,7912
HDFC Balanced Advantage Fund(G),Tata Mutual Fund,Tata Balanced Adv Fund-Reg(G),Tata Balanced Adv Fund-Reg(G),4,6,6.22,1.79,12.2,2.9,20.89,13.07,13.31,9107.02,1.69,39531
HDFC Balanced Advantage Fund(G),ICICI Prudential Mutual Fund,ICICI Pru Balanced Advantage Fund(G),ICICI Pru Balanced Advantage Fund(G),3,5,6.06,1.61,11.0,2.92,20.41,13.32,13.2,56709.02,1.48,1470
SBI Liquid Fund-Reg(G),SBI Mutual Fund,SBI Liquid Fund-Reg(G),SBI Liquid Fund-Reg(G),4,22,2.78,0.53,3.65,1.83,7.19,5.53,5.13,71061.16,0.3,2828
SBI Liquid Fund-Reg(G),Quant Mutual Fund,Quant Liquid Plan(G),Quant Liquid Plan(G),5,26,2.65,0.51,3.48,1.72,6.91,5.49,5.45,2395.82,0.54,883
SBI Liquid Fund-Reg(G),Franklin Templeton Mutual Fund,Franklin India Liquid Fund-Super Inst(G),Franklin India Liquid Fund-Super Inst(G),4,12,2.8,0.54,3.68,1.84,7.24,5.57,5.24,2015.37,0.2,3406
SBI Liquid Fund-Reg(G),Mahindra Mutual Fund,Mahindra Manulife Liquid Fund-Reg(G),Mahindra Manulife Liquid Fund-Reg(G),5,3,2.78,0.53,3.67,1.82,7.27,5.6,5.23,1061.93,0.25,35846
SBI Liquid Fund-Reg(G),Axis Mutual Fund,Axis Liquid Fund-Reg(G),Axis Liquid Fund-Reg(G),4,2,2.83,0.54,3.71,1.86,7.3,5.62,5.23,32647.93,0.24,8029
SBI Equity Hybrid Fund-Reg(G),SBI Mutual Fund,SBI Equity Hybrid Fund-Reg(G),SBI Equity Hybrid Fund-Reg(G),4,24,6.96,2.64,12.96,4.89,23.89,13.86,14.34,68409.82,1.41,2747
SBI Equity Hybrid Fund-Reg(G),Quant Mutual Fund,Quant Absolute Fund(G),Quant Absolute Fund(G),5,4,14.29,1.37,24.94,5.69,36.73,20.34,25.48,2024.53,0.75,865
