MF Code,schemecode,fund_house,returns_1month,returns_3month,returns_6month,returns_1year,index_name,returns_3year,returns_5year,returns_10year,ytd_returns,rank_ytd,rank_1month,rank_3month,rank_6month,rank_1year,rank_3year,rank_5year,rank_10year,s_name,classification,funds_num_ytd,funds_num_month1,funds_num_month3,funds_num_month6,funds_num_year1,funds_num_year3,funds_num_year5,funds_num_year10,ytd_avg,avg_month1,avg_month3,avg_month6,avg_year1,avg_year3,avg_year5,avg_year10,monthret_1,monthret_3,monthret_6,yrret_1,yrret_3,yrret_5,yrret_10,ytdret
SBI Nifty 50 ETF,33369,SBI Mutual Fund,-3.01,0.86,13.42,21.51,NIFTY 50 - TRI,15.19,15.38,,1.82,88,104,98,86,86,42,37,,SBI Nifty 50 ETF,Equity : ETFs,141,149,145,141,129,76,56,23,5.93,-1.65,2.08,18.87,34.31,17.92,16.84,13.52,,,,,,,,
SBI S&P BSE Sensex ETF,20447,SBI Mutual Fund,-3.03,1.17,11.87,18.71,S&P BSE SENSEX - TRI,14.99,15.29,13.58,0.92,104,117,83,101,107,52,41,9,SBI S&P BSE Sensex ETF,Equity : ETFs,141,149,145,141,129,76,56,23,5.93,-1.65,2.08,18.87,34.31,17.92,16.84,13.52,-2.97,1.73,12.37,19.06,15.08,15.55,12.12,2.51
HDFC Balanced Advantage Fund(G),1273,HDFC Mutual Fund,0.15,2.54,19.02,36.98,NIFTY 50 Hybrid Composite Debt 50:50 Index,24.3,19.0,16.05,7.97,2,3,14,2,2,1,1,1,HDFC Balanced Advantage Fund(G),Hybrid : Dynamic Asset Allocation,30,32,30,28,26,20,17,10,4.74,-0.98,1.92,12.42,22.6,11.89,11.84,11.2,,,,,,,,
SBI Liquid Fund-Reg(G),2828,SBI Mutual Fund,0.54,1.84,3.65,7.18,Nifty Liquid Fund Index,5.5,5.14,6.37,2.64,20,23,19,24,24,22,18,18,SBI Liquid Fund-Reg(G),Debt : Liquid,37,37,37,37,36,35,34,29,2.61,0.54,1.81,3.61,7.14,5.47,5.08,6.32,,,,,,,,
SBI Equity Hybrid Fund-Reg(G),2747,SBI Mutual Fund,-0.57,3.68,12.78,21.92,CRISIL Hybrid 35+65 - Aggressive Index,13.09,14.0,13.94,5.35,20,27,11,20,23,23,12,6,SBI Equity Hybrid Fund-Reg(G),Hybrid : Equity Oriented,56,56,56,56,55,53,48,24,4.63,-0.58,2.44,11.05,20.48,12.05,12.44,11.93,,,,,,,,
Parag Parikh Flexi Cap Fund-Reg(G),21520,PPFAS Mutual Fund,-0.79,2.68,18.14,34.75,NIFTY 500 - TRI,20.46,23.41,19.1,9.97,9,13,28,22,18,8,3,3,Parag Parikh Flexi Cap Fund-Reg(G),Equity : Flexi Cap,46,47,47,45,41,29,26,19,7.05,-1.34,3.22,18.38,34.82,18.28,17.63,15.92,,,,,,,,
HDFC Mid-Cap Opportunities Fund(G),1305,HDFC Mutual Fund,-1.45,2.11,19.57,50.43,Nifty Midcap 150 - TRI,28.04,24.69,20.87,8.25,18,25,26,15,8,4,7,4,HDFC Mid-Cap Opportunities Fund(G),Equity : Mid Cap,30,30,30,30,30,25,22,20,9.15,-0.19,4.03,20.09,45.99,23.47,23.27,19.62,,,,,,,,
HDFC Liquid Fund(G),1286,HDFC Mutual Fund,0.54,1.86,3.67,7.21,CRISIL Liquid Debt Index,5.51,5.12,6.35,2.66,4,25,3,8,17,20,20,22,HDFC Liquid Fund(G),Debt : Liquid,37,37,37,37,36,35,34,29,2.61,0.54,1.81,3.61,7.14,5.47,5.08,6.32,,,,,,,,
ICICI Pru Balanced Advantage Fund(G),1470,ICICI Prudential Mutual Fund,-0.77,2.74,10.88,19.4,CRISIL Hybrid 50+50 - Moderate Index,12.9,12.9,12.12,4.72,13,17,10,15,17,5,5,4,ICICI Pru Balanced Advantage Fund(G),Hybrid : Dynamic Asset Allocation,30,32,30,28,26,20,17,10,4.74,-0.98,1.92,12.42,22.6,11.89,11.84,11.2,,,,,,,,
ICICI Pru Bluechip Fund(G),4980,ICICI Prudential Mutual Fund,-1.88,2.73,20.1,34.84,NIFTY 100 - TRI,20.22,18.19,15.61,7.2,12,13,18,11,9,5,3,4,ICICI Pru Bluechip Fund(G),Equity : Large Cap,36,37,37,36,36,33,31,28,6.15,-2.22,2.89,17.95,30.27,16.32,15.89,14.24,,,,,,,,
HDFC Flexi Cap Fund(G),1131,HDFC Mutual Fund,-1.1,4.37,21.39,38.57,NIFTY 500 - TRI,25.68,20.17,16.45,8.17,17,16,16,9,10,3,4,8,HDFC Flexi Cap Fund(G),Equity : Flexi Cap,46,47,47,45,41,29,26,19,7.05,-1.34,3.22,18.38,34.82,18.28,17.63,15.92,,,,,,,,
UTI Nifty 50 ETF,33150,UTI Mutual Fund,-3.01,0.86,13.42,21.51,NIFTY 50 - TRI,15.2,15.38,,1.82,89,105,100,90,84,39,34,,UTI Nifty 50 ETF,Equity : ETFs,141,149,145,141,129,76,56,23,5.93,-1.65,2.08,18.87,34.31,17.92,16.84,13.52,,,,,,,,
Nippon India Small Cap Fund(G),12758,Nippon India Mutual Fund,0.94,3.51,19.35,52.12,Nifty Smallcap 250 - TRI,32.67,30.88,26.28,7.89,9,4,5,6,6,1,3,1,Nippon India Small Cap Fund(G),Equity : Small Cap,27,27,27,26,24,22,19,11,6.04,-0.42,1.29,15.8,44.82,26.07,26.68,21.23,,,,,,,,
Kotak Flexicap Fund(G),7874,Kotak Mahindra Mutual Fund,-1.42,5.66,18.52,29.88,NIFTY 500 - TRI,16.95,16.0,16.58,6.69,23,24,7,21,29,16,16,7,Kotak Flexicap Fund(G),Equity : Flexi Cap,46,47,47,45,41,29,26,19,7.05,-1.34,3.22,18.38,34.82,18.28,17.63,15.92,,,,,,,,
SBI BlueChip Fund-Reg(G),2711,SBI Mutual Fund,-1.91,3.48,12.47,21.22,S&P BSE 100 - TRI,15.43,15.82,15.11,2.71,32,14,11,32,32,21,14,8,SBI BlueChip Fund-Reg(G),Equity : Large Cap,36,37,37,36,36,33,31,28,6.15,-2.22,2.89,17.95,30.27,16.32,15.89,14.24,-2.29,2.67,16.87,26.66,16.86,16.86,12.13,11.52
ICICI Pru Liquid Fund(G),1659,ICICI Prudential Mutual Fund,0.55,1.86,3.69,7.23,CRISIL Liquid Debt Index,5.51,5.17,6.42,2.65,10,11,5,4,11,18,12,11,ICICI Pru Liquid Fund(G),Debt : Liquid,37,37,37,37,36,35,34,29,2.61,0.54,1.81,3.61,7.14,5.47,5.08,6.32,,,,,,,,
Aditya Birla SL Liquid Fund(G),293,Aditya Birla Sun Life Mutual Fund,0.55,1.85,3.67,7.24,Nifty Liquid Fund Index,5.56,5.22,6.46,2.64,19,6,10,9,9,7,5,4,Aditya Birla SL Liquid Fund(G),Debt : Liquid,37,37,37,37,36,35,34,29,2.61,0.54,1.81,3.61,7.14,5.47,5.08,6.32,,,,,,,,
Kotak Emerging Equity Fund(G),1977,Kotak Mahindra Mutual Fund,1.15,6.53,16.66,39.17,Nifty Midcap 150 - TRI,22.6,24.12,21.87,8.3,17,4,4,24,23,13,8,1,Kotak Emerging Equity Fund(G),Equity : Mid Cap,30,30,30,30,30,25,22,20,9.15,-0.19,4.03,20.09,45.99,23.47,23.27,19.62,,,,,,,,
ICICI Pru Value Discovery Fund(G),1492,ICICI Prudential Mutual Fund,-1.87,2.01,20.04,37.63,NIFTY 500 - TRI,24.37,22.69,18.47,9.26,7,15,17,17,16,7,3,6,ICICI Pru Value Discovery Fund(G),Equity : Value / Contra,22,22,22,22,21,18,17,14,8.43,-1.4,2.3,22.19,42.83,22.24,19.92,17.38,,,,,,,,
ICICI Pru Multi-Asset Fund(G),1495,ICICI Prudential Mutual Fund,-0.85,5.37,16.99,30.12,NIFTY 200 - TRI,23.05,19.89,15.92,9.51,3,13,3,6,3,2,2,2,ICICI Pru Multi-Asset Fund(G),Hybrid : Multi Asset Allocation,17,24,20,17,12,10,7,7,7.17,-0.76,3.85,14.99,26.35,15.9,17.33,12.85,,,,,,,,
UTI S&P BSE Sensex ETF,33151,UTI Mutual Fund,-3.03,1.17,11.87,18.71,S&P BSE SENSEX - TRI,15.0,15.29,,0.92,103,118,82,102,106,51,44,,UTI S&P BSE Sensex ETF,Equity : ETFs,141,149,145,141,129,76,56,23,5.93,-1.65,2.08,18.87,34.31,17.92,16.84,13.52,-2.97,1.73,12.37,19.06,15.08,15.55,12.12,2.51
CPSE ETF,27621,Nippon India Mutual Fund,-0.25,6.36,52.61,96.08,Nifty CPSE,51.72,25.68,14.94,27.38,1,36,21,1,1,1,1,6,CPSE ETF,Equity : ETFs,141,149,145,141,129,76,56,23,5.93,-1.65,2.08,18.87,34.31,17.92,16.84,13.52,0.49,7.21,51.72,93.76,46.48,22.87,4.09,71.13
Mirae Asset Large Cap Fund-Reg(G),4457,Mirae Asset Mutual Fund,-2.28,1.86,11.31,19.73,NIFTY 100 - TRI,13.35,14.11,15.42,1.76,36,17,30,35,34,28,24,5,Mirae Asset Large Cap Fund-Reg(G),Equity : Large Cap,36,37,37,36,36,33,31,28,6.15,-2.22,2.89,17.95,30.27,16.32,15.89,14.24,,,,,,,,
Axis ELSS Tax Saver Fund-Reg(G),8408,Axis Mutual Fund,-3.57,5.62,15.9,26.79,NIFTY 500 - TRI,10.78,14.34,15.55,6.84,25,59,10,35,51,54,49,12,Axis ELSS Tax Saver Fund-Reg(G),Equity : Tax Saving (ELSS),60,60,60,60,59,55,53,27,6.16,-1.15,2.62,17.34,34.5,20.33,19.44,15.78,,,,,,,,
Mirae Asset Large & Midcap Fund-Reg(G),9767,Mirae Asset Mutual Fund,-1.43,2.61,17.31,34.58,NIFTY LargeMidcap 250 - TRI,17.26,20.72,21.97,5.27,23,20,18,19,17,23,7,2,Mirae Asset Large & Midcap Fund-Reg(G),Equity : Large & Mid Cap,27,29,27,26,26,26,22,18,8.15,-1.05,3.59,19.73,37.92,20.41,19.49,16.87,,,,,,,,
ICICI Pru Equity & Debt Fund(G),1482,ICICI Prudential Mutual Fund,-1.16,3.95,19.3,35.78,CRISIL Hybrid 35+65 - Aggressive Index,23.89,20.72,17.33,9.08,3,40,9,3,3,1,3,2,ICICI Pru Equity & Debt Fund(G),Hybrid : Equity Oriented,56,56,56,56,55,53,48,24,4.63,-0.58,2.44,11.05,20.48,12.05,12.44,11.93,,,,,,,,
Axis Bluechip Fund-Reg(G),8250,Axis Mutual Fund,-2.81,4.62,16.25,23.77,S&P BSE 100 - TRI,11.17,14.08,13.68,5.83,18,29,3,25,29,32,25,17,Axis Bluechip Fund-Reg(G),Equity : Large Cap,36,37,37,36,36,33,31,28,6.15,-2.22,2.89,17.95,30.27,16.32,15.89,14.24,-2.29,2.67,16.87,26.66,16.86,16.86,12.13,11.52
