MF Code,schemecode,fund_house,returns_1month,returns_3month,returns_6month,returns_1year,index_name,returns_3year,returns_5year,returns_10year,ytd_returns,rank_ytd,rank_1month,rank_3month,rank_6month,rank_1year,rank_3year,rank_5year,rank_10year,s_name,classification,funds_num_ytd,funds_num_month1,funds_num_month3,funds_num_month6,funds_num_year1,funds_num_year3,funds_num_year5,funds_num_year10,ytd_avg,avg_month1,avg_month3,avg_month6,avg_year1,avg_year3,avg_year5,avg_year10,monthret_1,monthret_3,monthret_6,yrret_1,yrret_3,yrret_5,yrret_10,ytdret
SBI Nifty 50 ETF,33369,SBI Mutual Fund,-0.18,3.02,10.71,28.35,NIFTY 50 - TRI,13.01,18.54,,15.95,102,91,69,99,95,50,36,,SBI Nifty 50 ETF,Equity : ETFs,141,163,155,149,139,84,60,24,22.93,0.57,3.63,13.81,37.87,15.94,20.19,13.29,,,,,,,,
SBI BSE Sensex ETF,20447,SBI Mutual Fund,-0.38,2.35,9.66,24.92,BSE SENSEX - TRI,12.06,17.88,13.42,13.74,116,108,100,116,113,60,46,13,SBI BSE Sensex ETF,Equity : ETFs,141,163,155,149,139,84,60,24,22.93,0.57,3.63,13.81,37.87,15.94,20.19,13.29,-0.17,2.12,9.43,23.96,12.02,17.76,,17.72
HDFC Balanced Advantage Fund(G),1273,HDFC Mutual Fund,-0.09,1.28,10.15,32.44,NIFTY 50 Hybrid Composite Debt 50:50 Index,21.72,21.98,15.2,18.9,4,23,28,9,2,1,1,1,HDFC Balanced Advantage Fund(G),Hybrid : Dynamic Asset Allocation,30,33,32,32,27,21,18,10,15.44,0.07,2.6,8.95,24.46,12.08,13.81,10.68,,,,,,,,
HDFC Mid-Cap Opportunities Fund(G),1305,HDFC Mutual Fund,-0.47,3.62,17.05,45.21,Nifty Midcap 150 - TRI,26.64,30.7,19.68,29.1,22,23,18,24,21,2,6,5,HDFC Mid-Cap Opportunities Fund(G),Equity : Mid Cap,30,30,30,30,30,25,23,20,32.33,0.3,3.98,20.68,47.84,21.86,28.57,18.48,,,,,,,,
SBI Equity Hybrid Fund-Reg(G),2747,SBI Mutual Fund,0.38,2.03,10.49,24.89,CRISIL Hybrid 35+65 - Aggressive Index,11.03,15.47,13.01,17.03,26,21,38,23,28,28,20,9,SBI Equity Hybrid Fund-Reg(G),Hybrid : Equity Oriented,55,55,55,55,55,52,51,24,15.61,0.2,2.78,9.65,23.31,11.24,14.09,11.42,,,,,,,,
HDFC Flexi Cap Fund(G),1131,HDFC Mutual Fund,0.73,4.38,16.4,43.45,NIFTY 500 - TRI,24.32,25.18,15.79,26.88,16,16,18,20,15,2,4,6,HDFC Flexi Cap Fund(G),Equity : Flexi Cap,46,48,48,47,45,33,26,19,25.36,0.18,3.73,15.67,39.54,16.58,21.29,15.24,,,,,,,,
ICICI Pru Bluechip Fund(G),4980,ICICI Prudential Mutual Fund,0.0,3.03,11.93,37.82,NIFTY 100 - TRI,18.38,21.38,15.18,22.74,12,16,21,22,11,5,4,4,ICICI Pru Bluechip Fund(G),Equity : Large Cap,36,38,37,37,36,34,31,28,21.62,-0.4,3.03,12.39,35.23,14.6,19.04,13.83,,,,,,,,
SBI Liquid Fund-Reg(G),2828,SBI Mutual Fund,0.59,1.75,3.5,7.31,Nifty Liquid Fund Index,6.06,5.2,6.29,5.7,26,27,27,27,26,23,19,18,SBI Liquid Fund-Reg(G),Debt : Liquid,37,37,37,37,37,35,34,29,5.66,0.6,1.75,3.5,7.27,6.04,5.15,6.25,,,,,,,,
UTI Nifty 50 ETF,33150,UTI Mutual Fund,-0.18,3.02,10.71,28.35,NIFTY 50 - TRI,13.01,18.54,,15.95,101,89,64,95,93,49,34,,UTI Nifty 50 ETF,Equity : ETFs,141,163,155,149,139,84,60,24,22.93,0.57,3.63,13.81,37.87,15.94,20.19,13.29,,,,,,,,
ICICI Pru Balanced Advantage Fund(G),1470,ICICI Prudential Mutual Fund,0.35,3.57,8.75,22.7,CRISIL Hybrid 50+50 - Moderate Index,13.06,14.48,11.66,14.99,15,12,8,17,15,5,4,3,ICICI Pru Balanced Advantage Fund(G),Hybrid : Dynamic Asset Allocation,30,33,32,32,27,21,18,10,15.44,0.07,2.6,8.95,24.46,12.08,13.81,10.68,,,,,,,,
