MF Code,incept_date,schemecode,sdx_returns,sharpex_returns,sotinox_returns,betax_returns,alphax_returns,treynorx_returns,sdy_returns,sharpey_returns,sotinoy_returns,betay_returns,alphay_returns,treynory_returns,rank_sd,rank_sharpe,rank_sotino,rank_beta,rank_alpha,rank_treynor,index_name,s_name,avg_std_dev,avg_sharpe,avg_sotino,avg_beta,avg_alpha,avg_treyno,no_of_funds_total
SBI Nifty 50 ETF,2015-07-22,33369,12.77,1.77,2.75,0.99,4.84,22.81,0.8,0.11,0.17,0.99,0.02,0.09,34,83,87,68,94,98,NIFTY 50 - TRI,SBI Nifty 50 ETF,15.55,2.05,3.31,1.09,15.7,47.58,129
SBI S&P BSE Sensex ETF,2013-03-15,20447,12.75,1.56,2.46,0.99,2.12,20.03,0.8,0.1,0.16,0.99,0.01,0.08,25,98,98,80,107,107,BSE SENSEX - TRI,SBI S&P BSE Sensex ETF,15.55,2.05,3.31,1.09,15.7,47.58,129
HDFC Balanced Advantage Fund(G),2000-09-11,1273,10.92,3.03,4.16,0.48,31.63,68.87,0.69,0.19,0.26,0.48,0.13,0.27,23,4,5,26,2,5,NIFTY 50 Hybrid Composite Debt 50:50 Index,HDFC Balanced Advantage Fund(G),8.49,2.5,3.7,0.75,19.81,58.1,26
SBI Liquid Fund-Reg(G),2007-03-11,2828,0.07,28.99,14.98,0.0,2.02,11985.62,0.0,1.83,0.94,0.0,0.01,47.56,15,16,21,22,34,13,Nifty Liquid Fund Index,SBI Liquid Fund-Reg(G),0.09,27.68,17.28,0.0,2.25,6474.33,36
SBI Equity Hybrid Fund-Reg(G),1996-01-06,2747,9.02,2.35,3.62,0.4,19.96,52.87,0.57,0.15,0.23,0.4,0.08,0.21,29,38,35,36,22,38,CRISIL Hybrid 35+65 - Aggressive Index,SBI Equity Hybrid Fund-Reg(G),7.39,2.59,3.98,0.33,18.79,66.11,52
Parag Parikh Flexi Cap Fund-Reg(G),2013-05-28,21520,10.45,2.94,4.63,0.67,17.67,45.64,0.66,0.18,0.29,0.67,0.07,0.18,2,5,3,1,12,5,NIFTY 500 - TRI,Parag Parikh Flexi Cap Fund-Reg(G),13.55,2.43,3.62,0.92,15.34,35.98,41
HDFC Mid-Cap Opportunities Fund(G),2007-06-25,1305,14.99,2.89,4.16,0.89,26.08,48.71,0.94,0.18,0.26,0.89,0.1,0.19,17,16,18,17,14,20,Nifty Midcap 150 - TRI,HDFC Mid-Cap Opportunities Fund(G),15.22,2.82,4.14,0.88,25.85,48.65,30
HDFC Liquid Fund(G),2000-10-17,1286,0.07,28.65,15.1,0.0,2.04,-12935.76,0.0,1.8,0.95,0.0,0.01,-51.33,21,22,15,1,30,31,CRISIL Liquid Debt Index,HDFC Liquid Fund(G),0.09,27.68,17.28,0.0,2.25,6474.33,36
ICICI Pru Balanced Advantage Fund(G),2006-12-30,1470,5.39,3.28,5.49,0.25,16.91,71.64,0.34,0.21,0.35,0.25,0.07,0.28,1,2,1,2,17,4,CRISIL Hybrid 50+50 - Moderate Index,ICICI Pru Balanced Advantage Fund(G),8.49,2.5,3.7,0.75,19.81,58.1,26
ICICI Pru Bluechip Fund(G),2008-05-23,4980,12.14,2.68,4.15,0.91,14.94,35.83,0.76,0.17,0.26,0.91,0.06,0.14,10,3,3,11,8,5,NIFTY 100 - TRI,ICICI Pru Bluechip Fund(G),13.14,2.23,3.38,0.94,11.11,31.2,36
HDFC Flexi Cap Fund(G),1995-01-01,1131,11.54,3.06,4.78,0.83,19.3,42.71,0.73,0.19,0.3,0.83,0.08,0.17,3,2,2,7,10,8,NIFTY 500 - TRI,HDFC Flexi Cap Fund(G),13.55,2.43,3.62,0.92,15.34,35.98,41
