MF Code,incept_date,schemecode,sdx_returns,sharpex_returns,sotinox_returns,betax_returns,alphax_returns,treynorx_returns,sdy_returns,sharpey_returns,sotinoy_returns,betay_returns,alphay_returns,treynory_returns,rank_sd,rank_sharpe,rank_sotino,rank_beta,rank_alpha,rank_treynor,index_name,s_name,avg_std_dev,avg_sharpe,avg_sotino,avg_beta,avg_alpha,avg_treyno,no_of_funds_total
SBI Nifty 50 ETF,2015-07-22,33369,13.41,1.69,2.59,0.99,3.78,22.76,0.84,0.11,0.16,0.99,0.02,0.09,33,93,99,65,101,100,NIFTY 50 - TRI,SBI Nifty 50 ETF,16.6,1.82,2.93,1.1,11.73,34.92,141
SBI BSE Sensex ETF,2013-03-15,20447,13.34,1.56,2.42,0.99,1.92,20.89,0.84,0.1,0.15,0.99,0.01,0.08,22,113,111,73,114,112,BSE SENSEX - TRI,SBI BSE Sensex ETF,16.6,1.82,2.93,1.1,11.73,34.92,141
HDFC Balanced Advantage Fund(G),2000-09-11,1273,10.98,2.29,3.14,1.91,17.77,13.18,0.69,0.14,0.2,1.91,0.07,0.05,23,11,16,26,2,12,NIFTY 50 Hybrid Composite Debt 50:50 Index,HDFC Balanced Advantage Fund(G),8.71,2.13,3.13,1.52,12.42,12.87,28
Parag Parikh Flexi Cap Fund-Reg(G),2013-05-28,21520,10.86,2.67,4.1,0.68,15.62,42.49,0.68,0.17,0.26,0.68,0.06,0.17,1,3,4,1,10,3,NIFTY 500 - TRI,Parag Parikh Flexi Cap Fund-Reg(G),14.68,2.02,2.98,0.94,11.13,31.53,45
HDFC Mid-Cap Opportunities Fund(G),2007-06-25,1305,15.68,2.21,3.24,0.9,17.06,38.63,0.99,0.14,0.2,0.9,0.07,0.15,11,13,10,14,16,15,Nifty Midcap 150 - TRI,HDFC Mid-Cap Opportunities Fund(G),16.4,2.13,3.17,0.92,16.88,38.14,30
SBI Equity Hybrid Fund-Reg(G),1996-01-06,2747,9.58,1.93,2.87,1.66,12.1,11.09,0.6,0.12,0.18,1.66,0.05,0.04,30,42,41,36,30,48,CRISIL Hybrid 35+65 - Aggressive Index,SBI Equity Hybrid Fund-Reg(G),7.87,2.17,3.3,1.25,12.62,14.78,53
HDFC Flexi Cap Fund(G),1995-01-01,1131,11.87,2.89,4.43,0.82,18.3,41.88,0.75,0.18,0.28,0.82,0.07,0.17,3,2,2,4,5,4,NIFTY 500 - TRI,HDFC Flexi Cap Fund(G),14.68,2.02,2.98,0.94,11.13,31.53,45
ICICI Pru Bluechip Fund(G),2008-05-23,4980,12.88,2.28,3.44,0.91,11.47,32.13,0.81,0.14,0.22,0.91,0.05,0.13,9,4,5,13,8,7,NIFTY 100 - TRI,ICICI Pru Bluechip Fund(G),13.97,1.94,2.92,0.95,8.37,28.52,36
SBI Liquid Fund-Reg(G),2007-03-11,2828,0.07,10.18,5.27,0.0,0.71,-409.25,0.0,0.64,0.33,0.0,0.0,-1.62,17,31,32,26,34,26,Nifty Liquid Fund Index,SBI Liquid Fund-Reg(G),0.09,10.74,6.95,0.0,0.91,-386.2,37
UTI Nifty 50 ETF,2015-09-01,33150,13.46,1.69,2.61,0.99,3.83,22.98,0.85,0.11,0.16,0.99,0.02,0.09,42,86,89,63,96,94,NIFTY 50 - TRI,UTI Nifty 50 ETF,16.6,1.82,2.93,1.1,11.73,34.92,141
Nippon India Small Cap Fund(G),2010-09-16,12758,16.7,2.0,2.84,0.89,15.93,37.42,1.05,0.13,0.18,0.89,0.06,0.15,14,6,8,21,9,13,Nifty Smallcap 250 - TRI,Nippon India Small Cap Fund(G),16.44,1.9,2.74,0.83,15.09,37.85,24
ICICI Pru Balanced Advantage Fund(G),2006-12-30,1470,5.7,2.73,4.41,0.96,11.84,16.25,0.36,0.17,0.28,0.96,0.05,0.06,1,2,1,3,15,4,CRISIL Hybrid 50+50 - Moderate Index,ICICI Pru Balanced Advantage Fund(G),8.71,2.13,3.13,1.52,12.42,12.87,28
HDFC Liquid Fund(G),2000-10-17,1286,0.07,10.46,5.5,0.0,0.76,-289.17,0.0,0.66,0.35,0.0,0.0,-1.15,23,24,23,9,25,7,CRISIL Liquid Debt Index,HDFC Liquid Fund(G),0.09,10.74,6.95,0.0,0.91,-386.2,37
Kotak Flexicap Fund(G),2009-09-11,7874,15.26,1.73,2.47,1.03,6.12,25.65,0.96,0.11,0.16,1.03,0.02,0.1,29,37,39,36,36,38,NIFTY 500 - TRI,Kotak Flexicap Fund(G),14.68,2.02,2.98,0.94,11.13,31.53,45
Kotak Equity Arbitrage Fund(G),2005-09-29,1979,1.03,3.39,7.55,-0.12,3.98,-28.63,0.06,0.21,0.48,-0.12,0.02,-0.11,19,2,4,20,2,25,Nifty 50 Arbitrage,Kotak Equity Arbitrage Fund(G),1.02,3.0,6.67,-0.12,3.56,-23.43,25
SBI BlueChip Fund-Reg(G),2006-01-20,2711,11.82,1.9,2.96,0.84,6.25,26.86,0.74,0.12,0.19,0.84,0.02,0.11,1,20,15,3,24,22,BSE 100 - TRI,SBI BlueChip Fund-Reg(G),13.97,1.94,2.92,0.95,8.37,28.52,36
Kotak Emerging Equity Fund(G),2007-03-30,1977,15.77,2.24,3.31,0.9,17.51,39.16,0.99,0.14,0.21,0.9,0.07,0.16,13,8,8,16,14,11,Nifty Midcap 150 - TRI,Kotak Emerging Equity Fund(G),16.4,2.13,3.17,0.92,16.88,38.14,30
ICICI Pru Value Discovery Fund(G),2004-08-16,1492,11.23,2.86,4.37,0.79,16.66,40.67,0.71,0.18,0.28,0.79,0.07,0.16,2,2,2,2,9,2,NIFTY 500 - TRI,ICICI Pru Value Discovery Fund(G),15.48,2.22,3.26,0.98,14.56,35.09,22
ICICI Pru Multi-Asset Fund(G),2002-10-31,1495,7.52,3.0,4.68,1.16,18.09,19.4,0.47,0.19,0.3,1.16,0.07,0.08,5,4,4,7,7,5,NIFTY 200 - TRI,ICICI Pru Multi-Asset Fund(G),8.9,2.41,3.7,1.49,15.76,0.39,17
UTI BSE Sensex ETF,2015-09-01,33151,13.39,1.57,2.43,0.99,1.94,21.09,0.84,0.1,0.15,0.99,0.01,0.08,28,108,106,74,112,106,BSE SENSEX - TRI,UTI BSE Sensex ETF,16.6,1.82,2.93,1.1,11.73,34.92,141
ICICI Pru Liquid Fund(G),2005-11-17,1659,0.07,10.25,5.63,0.0,0.78,-265.15,0.0,0.65,0.35,0.0,0.0,-1.05,28,27,16,8,18,4,CRISIL Liquid Debt Index,ICICI Pru Liquid Fund(G),0.09,10.74,6.95,0.0,0.91,-386.2,37
CPSE ETF,2014-03-28,27621,28.88,1.89,2.7,4.1,38.96,13.33,1.82,0.12,0.17,4.1,0.15,0.05,136,63,82,141,2,134,Nifty CPSE,CPSE ETF,16.6,1.82,2.93,1.1,11.73,34.92,141
Aditya Birla SL Liquid Fund(G),2004-03-30,293,0.07,10.62,5.57,0.0,0.78,-327.27,0.0,0.67,0.35,0.0,0.0,-1.3,20,20,20,13,16,15,Nifty Liquid Fund Index,Aditya Birla SL Liquid Fund(G),0.09,10.74,6.95,0.0,0.91,-386.2,37
Mirae Asset Large Cap Fund-Reg(G),2008-04-04,4457,12.95,1.68,2.53,0.93,3.43,23.26,0.82,0.11,0.16,0.93,0.01,0.09,10,30,28,14,33,32,NIFTY 100 - TRI,Mirae Asset Large Cap Fund-Reg(G),13.97,1.94,2.92,0.95,8.37,28.52,36
ICICI Pru Equity & Debt Fund(G),1999-11-03,1482,10.25,2.57,3.81,1.66,19.86,15.8,0.65,0.16,0.24,1.66,0.08,0.06,38,10,11,37,5,15,CRISIL Hybrid 35+65 - Aggressive Index,ICICI Pru Equity & Debt Fund(G),7.87,2.17,3.3,1.25,12.62,14.78,53
SBI Contra Fund-Reg(G),1999-07-14,2809,13.96,2.23,3.16,0.9,13.68,34.62,0.88,0.14,0.2,0.9,0.05,0.14,6,10,10,4,14,12,BSE 500 - TRI,SBI Contra Fund-Reg(G),15.48,2.22,3.26,0.98,14.56,35.09,22
Mirae Asset Large & Midcap Fund-Reg(G),2010-07-09,9767,14.68,1.79,2.56,0.97,7.43,27.29,0.92,0.11,0.16,0.97,0.03,0.11,9,21,21,13,22,22,NIFTY LargeMidcap 250 - TRI,Mirae Asset Large & Midcap Fund-Reg(G),15.24,2.1,3.06,0.94,13.17,33.64,26
Nippon India Multi Cap Fund(G),2005-03-28,2466,14.8,2.23,3.19,0.91,15.22,36.36,0.93,0.14,0.2,0.91,0.06,0.14,17,9,14,18,12,13,Nifty500 Multicap 50:25:25 - TRI,Nippon India Multi Cap Fund(G),14.74,2.07,3.04,0.91,12.25,33.15,36
Axis ELSS Tax Saver Fund-Reg(G),2009-12-29,8408,12.6,2.05,3.31,0.8,10.28,32.33,0.79,0.13,0.21,0.8,0.04,0.13,11,22,13,9,31,27,NIFTY 500 - TRI,Axis ELSS Tax Saver Fund-Reg(G),14.61,1.97,2.91,0.91,10.82,31.54,59
HDFC Top 100 Fund(G),1996-09-03,1331,14.18,1.83,2.67,1.01,6.05,25.55,0.89,0.12,0.17,1.01,0.02,0.1,23,23,24,28,25,26,NIFTY 100 - TRI,HDFC Top 100 Fund(G),13.97,1.94,2.92,0.95,8.37,28.52,36
SBI Focused Equity Fund-Reg(G),2004-10-11,2817,11.18,1.93,2.96,0.68,8.47,31.9,0.7,0.12,0.19,0.68,0.03,0.13,1,27,24,1,31,22,BSE 500 - TRI,SBI Focused Equity Fund-Reg(G),14.74,2.07,3.04,0.91,12.25,33.15,36
Axis Bluechip Fund-Reg(G),2010-01-05,8250,12.64,1.78,2.81,0.9,5.04,25.15,0.8,0.11,0.18,0.9,0.02,0.1,6,27,21,9,28,30,BSE 100 - TRI,Axis Bluechip Fund-Reg(G),13.97,1.94,2.92,0.95,8.37,28.52,36
