fincode,rv_sect_name,compname,classification
100002,Capital Goods,ABB India Ltd.,L
100003,Logistics,Aegis Logistics Ltd.,S
100008,Automobile and Ancillaries,Amara Raja Energy & Mobility Ltd.,S
100020,Textile,Bombay Dyeing And Manufacturing Company Ltd.,S
100032,FMCG,Bajaj Hindusthan Sugar Ltd.,S
100034,Financials,Bajaj Finance Ltd.,L
100038,FMCG,Balrampur Chini Mills Ltd.,S
100040,Diversified,Century Textiles & Industries Ltd.,S
100048,Logistics,BEML Ltd.,S
100049,Capital Goods,Bharat Electronics Ltd.,L
100052,Chemicals,Bhansali Engineering Polymers Ltd.,S
100086,Automobile and Ancillaries,Exide Industries Ltd.,M
100092,Miscellaneous,CRISIL Ltd.,M
100093,Capital Goods,CG Power and Industrial Solutions Ltd.,M
100096,FMCG,Dabur India Ltd.,L
100097,FMCG,Dalmia Bharat Sugar And Industries Ltd.,S
100101,Textile,Arvind Ltd.,S
100103,Capital Goods,Bharat Heavy Electricals Ltd.,M
100104,Energy,Hindustan Petroleum Corporation Ltd.,M
100106,Financials,IFCI Ltd.,S
100109,Energy,Mangalore Refinery And Petrochemicals Ltd.,S
100110,Energy,Chennai Petroleum Corporation Ltd.,S
100113,Metals,Steel Authority Of India Ltd.,M
100116,Financials,IDBI Bank Ltd.,L
100123,Chemicals,Elantas Beck India Ltd.,S
100124,Healthcare,Dr. Reddy's Laboratories Ltd.,L
100125,FMCG,E.I.D. - Parry (India) Ltd.,S
100126,Healthcare,Procter & Gamble Health Ltd.,S
100128,Automobile and Ancillaries,Electrosteel Castings Ltd.,S
100148,FMCG,Uflex Ltd.,S
100150,Chemicals,Foseco India Ltd.,S
100163,FMCG,Godfrey Phillips India Ltd.,S
100164,Chemicals,Godrej Industries Ltd.,S
100168,Automobile and Ancillaries,Goodyear India Ltd.,S
100182,Automobile and Ancillaries,Hero MotoCorp Ltd.,M
100183,Media and Communications,HFCL Ltd.,S
100184,Chemicals,Himadri Speciality Chemical Ltd.,S
100185,Infrastructure,Hindustan Construction Company Ltd.,S
100201,Chemicals,India Glycols Ltd.,S
100209,Technology,Infosys Ltd.,L
100214,Capital Goods,Ion Exchange (India) Ltd.,S
100215,FMCG,Agro Tech Foods Ltd.,S
100219,Consumer Durables,Jain Irrigation Systems Ltd.,S
100227,Consumer Durables,Jindal Poly Films Ltd.,S
100228,Metals,JSW Steel Ltd.,L
100233,Construction,Kajaria Ceramics Ltd.,S
100238,Consumer Durables,Whirlpool Of India Ltd.,S
100241,Capital Goods,Kirloskar Brothers Ltd.,S
100245,Automobile and Ancillaries,Kirloskar Ferrous Industries Ltd.,S
100247,Financials,Kotak Mahindra Bank Ltd.,L
100250,Automobile and Ancillaries,LG Balakrishnan & Bros Ltd.,S
100251,Retail and Other Services,Trent Ltd.,L
100252,Textile,Lakshmi Machine Works Ltd.,S
100253,Financials,LIC Housing Finance Ltd.,M
100257,Healthcare,Lupin Ltd.,M
100260,Construction,The Ramco Cements Ltd.,M
100265,Metals,Maharashtra Seamless Ltd.,S
100266,Automobile and Ancillaries,Maharashtra Scooters Ltd.,S
100271,Financials,Max Financial Services Ltd.,M
100280,Textile,Century Enka Ltd.,S
100288,Healthcare,Morepen Laboratories Ltd.,S
100290,Automobile and Ancillaries,MRF Ltd.,M
100292,Construction,Heidelberg Cement India Ltd.,S
100294,Infrastructure,NCC Ltd.,S
100295,Metals,Vedanta Ltd.,L
100300,Diversified,Grasim Industries Ltd.,L
100302,Financials,Piramal Enterprises Ltd.,M
100325,Energy,Reliance Industries Ltd.,L
100330,Textile,Raymond Ltd.,S
100331,Chemicals,Pidilite Industries Ltd.,L
100333,Automobile and Ancillaries,Pix Transmissions Ltd.,S
100335,Diversified,Birla Corporation Ltd.,S
100336,Diversified,Surya Roshni Ltd.,S
100338,Construction,Prism Johnson Ltd.,S
100339,Energy,Rain Industries Ltd.,S
100378,Metals,Jindal Saw Ltd.,S
100380,Construction,JK Lakshmi Cement Ltd.,S
100390,Energy,Reliance Infrastructure Ltd.,S
100400,Energy,Tata Power Company Ltd.,L
100403,Automobile and Ancillaries,Sundram Fasteners Ltd.,M
100404,Metals,Sunflag Iron And Steel Company Ltd.,S
100407,Automobile and Ancillaries,Swaraj Engines Ltd.,S
100408,Technology,Tata Elxsi Ltd.,M
100410,Construction,ACC Ltd.,M
100412,Chemicals,Thirumalai Chemicals Ltd.,S
100413,Travel,Thomas Cook (India) Ltd.,S
100425,Construction,Ambuja Cements Ltd.,L
100440,Metals,Hindalco Industries Ltd.,L
100460,Metals,Mukand Ltd.,S
100470,Metals,Tata Steel Ltd.,L
100480,Automobile and Ancillaries,Cummins India Ltd.,M
100490,Financials,Bajaj Holdings & Investment Ltd.,L
100495,Automobile and Ancillaries,Escorts Kubota Ltd.,M
100510,Infrastructure,Larsen & Toubro Ltd.,L
100530,Automobile and Ancillaries,Bosch Ltd.,M
100550,Capital Goods,Siemens Ltd.,L
100570,Automobile and Ancillaries,Tata Motors Ltd.,L
100575,Consumer Durables,Voltas Ltd.,M
100620,Logistics,The Great Eastern Shipping Company Ltd.,S
100645,Chemicals,Deepak Fertilisers And Petrochemicals Corporation Ltd.,S
100655,Consumer Durables,Garware Hi-Tech Films Ltd.,S
100672,Miscellaneous,Novartis India Ltd.,S
100674,Healthcare,Sanofi India Ltd.,S
100680,Healthcare,Pfizer Ltd.,S
100690,Chemicals,Gujarat State Fertilizers & Chemicals Ltd.,S
100696,FMCG,Hindustan Unilever Ltd.,L
100790,FMCG,Nestle India Ltd.,L
100800,FMCG,Tata Consumer Products Ltd.,L
100840,Travel,EIH Ltd.,S
100875,FMCG,ITC Ltd.,L
100877,Automobile and Ancillaries,Apollo Tyres Ltd.,M
100878,Automobile and Ancillaries,Ceat Ltd.,S
101301,Financials,Tata Investment Corporation Ltd.,S
101423,Consumer Durables,Shaily Engineering Plastics Ltd.,S
101425,FMCG,Bombay Burmah Trading Corporation Ltd.,S
101455,Automobile and Ancillaries,Greaves Cotton Ltd.,S
102219,Construction,Borosil Renewables Ltd.,S
102330,FMCG,Andhra Paper Ltd.,S
102355,Automobile and Ancillaries,Balkrishna Industries Ltd.,M
102986,Textile,Vardhman Textiles Ltd.,S
103310,Textile,Swan Energy Ltd.,S
103806,Chemicals,SRF Ltd.,L
103960,Capital Goods,Bharat Bijlee Ltd.,S
104212,Capital Goods,Universal Cables Ltd.,S
104614,Metals,Sarda Energy & Minerals Ltd.,S
104966,Metals,Tinplate Company Of India Ltd.,S
104973,Financials,Cholamandalam Financial Holdings Ltd.,S
105200,Automobile and Ancillaries,Eicher Motors Ltd.,L
105255,Capital Goods,GMM Pfaudler Ltd.,S
105283,Capital Goods,Kirloskar Pneumatic Company Ltd.,S
105509,Consumer Durables,Responsive Industries Ltd.,S
105533,Retail and Other Services,Westlife Foodworld Ltd,S
105537,Media and Communications,Zee Entertainment Enterprises Ltd.,M
105714,Automobile and Ancillaries,Gabriel India Ltd.,S
105790,Automobile and Ancillaries,Schaeffler India Ltd.,M
105890,Capital Goods,Kennametal India Ltd.,S
106076,Capital Goods,Grindwell Norton Ltd.,M
106197,Healthcare,Bliss GVS Pharma Ltd.,S
106222,Chemicals,Styrenix Performance Materials Ltd.,S
106355,Chemicals,Chemplast Sanmar Ltd.,S
106401,Chemicals,Deepak Nitrite Ltd.,M
106590,Chemicals,PCBL Ltd.,S
106690,Healthcare,Unichem Laboratories Ltd.,S
106767,Chemicals,Alkyl Amines Chemicals Ltd.,S
106820,Healthcare,Astrazeneca Pharma India Ltd.,S
106879,Healthcare,Gujarat Themis Biosyn Ltd.,S
107205,FMCG,Tilaknagar Industries Ltd.,S
107685,Technology,Wipro Ltd.,L
107717,Chemicals,Dhanuka Agritech Ltd.,S
107815,FMCG,Gillette India Ltd.,S
108814,Consumer Durables,Cosmo First Ltd.,S
108869,Healthcare,Apollo Hospitals Enterprise Ltd.,L
108989,Media and Communications,Navneet Education Ltd.,S
109243,Automobile and Ancillaries,TVS Srichakra Ltd.,S
109488,Capital Goods,Graphite India Ltd.,S
109496,Infrastructure,ITD Cementation India Ltd.,S
109557,Textile,Garware Technical Fibres Ltd.,S
109631,Capital Goods,HEG Ltd.,S
109675,Construction,HIL Ltd.,S
109820,Consumer Durables,Huhtamaki India Ltd.,S
109966,FMCG,VST Industries Ltd.,S
111034,Energy,Jindal Drilling & Industries Ltd.,S
