SCRIP_CD,scrip_id,Scrip_Name,Issuer_Name
500002,Abb,Abb India Limited,Abb India Limited
500003,Aegislog,Aegis Logistics Limited,Aegis Logistics Limited
500008,Are&M,Amara Raja Energy & Mobility Limited,Amara Raja Energy & Mobility Limited
500009,Ambalalsa,Ambalal Sarabhai Enterprises Limited,Ambalal Sarabhai Enterprise Limited,
500012,Andhrapet,Andhra Petrochemicals Limited,Andhra Petrochemicals Limited,
500013,Ansalapi,Ansal Properties & Infrastructure Limited,Ansal Properties & Infrastructure Limited
500014,Utique,Utique Enterprises Limited,Utique Enterprises Limited
500016,Arunahtel,Aruna Hotels Limited,Aruna Hotels Limited
500020,Bomdyeing,Bombay Dyeing & Mfg.Co.Limited,Bombay Dyeing & Mfg. Co. Limited,
500023,Asianhotnr,Asian Hotels (North) Limited,Asian Hotels (North) Limited
500027,Atul,Atul Limited,Atul Limited.,
500028,Atvpr,Atv Projects India Limited,Atv Projects India Limited
500031,Bajajelec,Bajaj Electricals Limited-$,Bajaj Electricals Limited,
500032,Bajajhind,Bajaj Hindusthan Sugar Limited,Bajaj Hindusthan Sugar Limited
500033,Forcemot,Force Motors Limited-$,Force Motors Limited
500034,Bajfinance,Bajaj Finance Limited,Bajaj Finance Limited
500038,Balramchin,Balrampur Chini Mills Limited,Balrampur Chini Mills Limited
500039,Bancoindia,Banco Products (India) Limited-$,Banco Products (India) Limited,
500040,Centurytex,Century Textiles & Industries Limited,Century Textiles & Industries Limited,
500041,Banarisug,Bannari Amman Sugars Limited,Bannari Amman Sugars Limited,
500042,Basf,Basf India Limited,Basf India Limited
500043,Bataindia,Bata India Limited,Bata India Limited
500048,Beml,Beml Limited,Beml Limited
500049,Bel,Bharat Electronics Limited,Bharat Electronics Limited,
500052,Bepl,Bhansali Engineering Polymers Limited-$,Bhansali Engineering Polymers Limited,
500058,Bihspong,Bihar Sponge Iron Limited,Bihar Sponge Iron Limited
500059,Binaniind,Binani Industries Limited,Binani Industries Limited
500060,Birlacable,Birla Cable Limited,Birla Cable Limited
500067,Bluestarco,Blue Star Limited,Blue Star Limited
500068,Disaq,Disa India Limited,Disa India Limited
500069,Questcap,Quest Capital Markets Limited,Quest Capital Markets Limited
500074,Bpl,Bpl Limited,Bpl Limited,
500078,Oal,Oriental Aromatics Limited-$,Oriental Aromatics Limited
500083,Centext,Century Extrusions Limited,Century Extrusions Limited,
500084,Cesc,Cesc Limited,Cesc Limited,
500085,Chamblfert,Chambal Fertilisers & Chemicals Limited,Chambal Fertilisers & Chemicals Limited
500086,Exideind,Exide Industries Limited,Exide Industries Limited,
500087,Cipla,Cipla Limited,Cipla Limited,
500089,Dicind,Dic India Limited,Dic India Limited
500092,Crisil,Crisil Limited,Crisil Limited
500093,Cgpower,Cg Power And Industrial Solutions Limited,Cg Power And Industrial Solutions Limited
500096,Dabur,Dabur India Limited,Dabur India Limited
500097,Dalmiasug,Dalmia Bharat Sugar And Industries Limited,Dalmia Bharat Sugar And Industries Limited
500101,Arvind,Arvind Limited,Arvind Limited,
500103,Bhel,Bharat Heavy Electricals Limited,Bharat Heavy Electricals Limited,
500104,Hindpetro,Hindustan Petroleum Corporation Limited,Hindustan Petroleum Corporation Limited
500106,Ifci,Ifci Limited,Ifci Limited
500108,Mtnl,Mahanagar Telephone Nigam Limited,Mahanagar Telephone Nigam Limited
500109,Mrpl,Mangalore Refinery & Petrochemicals Limited,Mangalore Refinery & Petrochemicals
500110,Chennpetro,Chennai Petroleum Corporation Limited,Chennai Petroleum Corporation Limited
500112,Sbin,State Bank Of India,State Bank Of India,
500113,Sail,Steel Authority Of India Limited,Steel Authority Of India Limited,
500114,Titan,Titan Company Limited,Titan Company Limited
500116,Idbi,Idbi Bank Limited,Idbi Bank Limited
500117,Dcw,Dcw Limited,Dcw Limited,
500119,Dhampursug,Dhampur Sugar Mills Limited,Dhampur Sugar Mills Limited,
500120,Diaminesq,Diamines & Chemicals Limited-$,Diamines & Chemicals Limited,
500123,Elantas,Elantas Beck India Limited-$,Elantas Beck India Limited
500124,Drreddy,Dr.Reddy'S Laboratories Limited,Dr. Reddy'S Laboratories Limited,
500125,Eidparry,E.I.D.-Parry (India) Limited,E.I.D. Parry (India) Limited,
500126,Pghl,Procter & Gamble Health Limited,Procter & Gamble Health Limited
500128,Electcast,Electrosteel Castings Limited,Electrosteel Castings Limited,
500133,Esabindia,Esab India Limited,Esab India Limited
500135,Epl,Epl Limited,Epl Limited
500136,Ester,Ester Industries Limited,Ester Industries Limited,
500142,Fgp,Fgp Limited,Fgp Limited
500143,Phcap,Ph Capital Limited,P.H. Capital Limited
500144,Fincables,Finolex Cables Limited,Finolex Cables Limited,
500147,Cockerill,John Cockerill India Limited-$,John Cockerill India Limited
500148,Uflex,Uflex Limited,Uflex Limited
500150,Fosecoind,Foseco India Limited,Foseco India Limited
500151,Goldentobc,Golden Tobacco Limited,Golden Tobacco Limited
500153,Ganeshbe,Ganesh Benzoplast Limited,Ganesh Benzoplast Limited,
500159,Metroglobl,Metroglobal Limited,Metroglobal Limited
500160,Gtl,Gtl Limited,Gtl Limited
500163,Godfryphlp,Godfrey Phillips India Limited,Godfrey Phillips India Limited,
500164,Godrejind,Godrej Industries Limited,Godrej Industries Limited
500165,Kansainer,Kansai Nerolac Paints Limited,Kansai Nerolac Paints
500166,Goodricke,Goodricke Group Limited,Goodricke Group Limited,
500168,Goodyear,Goodyear India Limited,Goodyear India Limited,
500170,Gtninds,Gtn Industries Limited,Gtn Industries Limited
500171,Ghcl,Ghcl Limited,Ghcl Limited
500173,Gfllimited,Gfl Limited,Gfl Limited
500174,Glfl,Gujarat Lease Financing Limited,Gujarat Lease Financing Limited,
500179,Hcl-Insys,Hcl Infosystems Limited,Hcl Infosystems Limited
500180,Hdfcbank,Hdfc Bank Limited,Hdfc Bank Limited
500182,Heromotoco,Hero Motocorp Limited,Hero Motocorp Limited
500183,Hfcl,Hfcl Limited,Hfcl Limited
500184,Hscl,Himadri Speciality Chemical Limited,Himadri Speciality Chemical Limited
500185,Hcc,Hindustan Construction Co.Limited,Hindustan Construction Co. Limited,
500186,Hindoilexp,Hindustan Oil Exploration Co.Limited,Hindustan Oil Exploration Co. Limited
500187,Agi,Agi Greenpac Limited,Agi Greenpac Limited
500188,Hindzinc,Hindustan Zinc Limited,Hindustan Zinc Limited,
500189,Ndlventure,Ndl Ventures Limited,Ndl Ventures Limited
500191,Hmt,Hmt Limited,Hmt Limited
500192,Pragbos,Prag Bosimi Synthetics Limited,Prag Bosimi Synthetics Limited
500193,Hlvlimited,Hlv Limited,Hlv Limited
500199,Igpl,I G Petrochemicals Limited,Ig Petrochemicals Limited
500201,Indiaglyco,India Glycols Limited,India Glycols Limited
500202,Indlease,India Lease Development Limited,India Lease Devl. Limited,
500206,Margofin,Margo Finance Limited,Margo Finance Limited
500207,Indorama,Indo Rama Synthetics (India) Limited,Indo Rama Synthetics (India) Limited,
500209,Infy,Infosys Limited,Infosys Limited
500210,Ingerrand,Ingersoll-Rand (India) Limited,Ingersoll-Rand (India) Limited
500213,Ithl,International Travel House Limited-$,International Travel House Limited
500214,Ionexchang,Ion Exchange (India) Limited-$,Ion Exchange (India) Limited
500215,Atfl,Agro Tech Foods Limited,Agro Tech Foods Limited
500219,Jisljaleqs,Jain Irrigation Systems Limited,Jain Irrigation Systems Limited,
500220,Jasch,Jasch Industries Limited,Jasch Industries Limited
500223,Jctlimited,Jct Limited,Jct Limited
500227,Jindalpoly,Jindal Poly Films Limited,Jindal Poly Films Limited
500228,Jswsteel,Jsw Steel Limited,Jsw Steel Limited
500231,Umangdairy,Umang Dairies Limited,Umang Dairies Limited
500233,Kajariacer,Kajaria Ceramics Limited,Kajaria Ceramics Limited
500234,Kakatcem,Kakatiya Cement Sugar & Industries Limited,Kakatiya Cement Sugar & Industries Limited
500235,Ksl,Kalyani Steels Limited,Kalyani Steels Limited
500236,Kanelind,Kanel Industries Limited,Kanel Industries Limited
500238,Whirlpool,Whirlpool Of India Limited,Whirlpool Of India Limited
500239,Kgdenim,Kg Denim Limited,K.G.Denim Limited
500240,Kineticeng,Kinetic Engineering Limited,Kinetic Engineering Limited,
500241,Kirlosbros,Kirloskar Brothers Limited-$,Kirloskar Brothers Limited,
500243,Kirlosind,Kirloskar Industries Limited,Kirloskar Industries Limited
500245,Kirlfer,Kirloskar Ferrous Industries Limited,Kirloskar Ferrous Industries Limited
500246,Envairel,Envair Electrodyne Limited,Envair Electrodyne Limited
500247,Kotakbank,Kotak Mahindra Bank Limited,Kotak Mahindra Bank Limited
500248,Krifilind,Krishna Filament Industries Limited,Krishna Filament Industries Limited
500249,Ksb,Ksb Limited,Ksb Limited
500250,Lgbbroslimited,L.G.Balakrishnan & Bros.Limited,L.G.Balkrishnan & Bros. Limited
500251,Trent,Trent Limited,Trent Limited [Lakme Limited]
500252,Laxmimach,Lakshmi Machine Works Limited,Lakshmi Machine Works Limited,
500253,Lichsgfin,Lic Housing Finance Limited,Lic Housing Finance Limited
500257,Lupin,Lupin Limited,Lupin Limited
500259,Lykalabs,Lyka Labs Limited,Lyka Labs Limited,
500260,Ramcocem,The Ramco Cements Limited,The Ramco Cements Limited
500262,Hybridfin,Hybrid Financial Services Limited,Hybrid Financial Services Limited
500264,Mafatind,Mafatlal Industries Limited-$,Mafatlal Industries Limited,
500265,Mahseamles,Maharashtra Seamless Limited,Maharashtra Seamless Limited
500266,Mahscooter,Maharashtra Scooters Limited,Maharashtra Scooters Limited,
500267,Majesaut,Majestic Auto Limited-$,Majestic Auto Limited,
500268,Manalipetc,Manali Petrochemical Limited,Manali Petrochemicals Limited,
500270,Barodary,Baroda Rayon Corporation Limited,Baroda Rayon Corpn. Limited,
500271,Mfsl,Max Financial Services Limited,Max Financial Services Limited
500277,Midindia,Mid India Industries Limited,Mid India Industries Limited
500279,Mircelectr,Mirc Electronics Limited,Mirc Electronics Limited
500280,Centenka,Century Enka Limited,Century Enka Limited,
500282,Modthread,Modern Threads (India) Limited,Modern Thread (India) Limited,
500284,Lordschlo,Lords Chloro Alkali Limited,Lords Chloro Alkali Limited
500285,Spicejet,Spicejet Limited,Spicejet Limited
500288,Morepenlab,Morepen Laboratories Limited,Morepen Laboratories Limited
500290,Mrf,Mrf Limited,M.R.F. Limited,
500292,Heidelberg,Heidelbergcement India Limited,Heidelbergcement  India Limited
500294,Ncc,Ncc Limited,Ncc Limited
500295,Vedl,Vedanta Limited,Vedanta Limited
500296,Naharsping,Nahar Spinning Mills Limited,Nahar Spinning Mills Limited,
500298,Naperol,Naperol Investments Limited,Naperol Investments Limited
500300,Grasim,Grasim Industries Limited,Grasim Industries Limited
500302,Pel,Piramal Enterprises Limited,Piramal Enterprises Limited
500304,Niitlimited,Niit Limited,Niit Limited,
