Stock Number,Stock Name
100180,Hdfc Bank Limited
100325,Reliance Industries Limited
132174,Icici Bank Limited
100209,Infosys Limited
100875,Itc Limited
132454,Bharti Airtel Limited
132540,Tata Consultancy Services Limited
100510,Larsen & Toubro Limited
132215,Axis Bank Limited
100112,State Bank Of India
100520,Mahindra & Mahindra Limited
100247,Kotak Mahindra Bank Limited
100696,Hindustan Unilever Limited
100034,Bajaj Finance Limited
132555,Ntpc Limited
124715,Sun Pharmaceutical Industries Limited
100570,Tata Motors Limited
132281,Hcl Technologies Limited
132500,Maruti Suzuki India Limited
100251,Trent Limited
132898,Power Grid Corporation Of India Limited
100114,Titan Company Limited
100820,Asian Paints Limited
100470,Tata Steel Limited
200132,Bajaj Auto Limited
132538,Ultratech Cement Limited
219300,Coal India Limited
100312,Oil & Natural Gas Corporation Limited
100440,Hindalco Industries Limited
205198,Bajaj Finserv Limited
132921,Adani Ports And Special Economic Zone Limited
100300,Grasim Industries Limited
100049,Bharat Electronics Limited
132755,Tech Mahindra Limited
111218,Shriram Finance Limited
100228,Jsw Steel Limited
100790,Nestle India Limited
132187,Indusind Bank Limited
100087,Cipla Limited
211385,Sbi Life Insurance Co. Limited
100124,Dr. Reddy'S Laboratories Limited
100800,Tata Consumer Products Limited
217389,Hdfc Life Insurance Company Limited
107685,Wipro Limited
100825,Britannia Industries Limited
100182,Hero Motocorp Limited
112599,Adani Enterprises Limited
108869,Apollo Hospitals Enterprise Limited
100547,Bharat Petroleum Corporation Limited
105200,Eicher Motors Limited
132488,Divi'S Laboratories Limited
216156,Ltimindtree Limited
316317,Tata Consumer Products Limited
100180,Hdfc Bank Limited£
132555,Ntpc Limited
100209,Infosys Limited
100510,Larsen And Toubro Limited
100257,Lupin Limited
132810,Power Finance Corporation Limited
200055,Rec Limited.
132155,Gail (India) Limited
132134,Bank Of Baroda
100104,Hindustan Petroleum Corp. Limited
220869,Techno Electric & Engin. Co. Limited
211385,Sbi Life Insurance Company Limited
132187,Indusind Bank Limited
132259,Apar Industries Limited
200115,Titagarh Wagons Limited
208264,Gujarat Pipavav Port Limited
100877,Apollo Tyres Limited
219494,Hindustan Aeronautics Limited
212705,Bharat Dynamics Limited
222055,Interglobe Aviation Limited
124804,Aurobindo Pharma Limited
100048,Beml Limited
200043,J.Kumar Infraprojects Limited
132921,Adani Ports & Special Economic Zone
100493,Bharat Forge Limited
124494,Ipca Laboratories Limited
106590,Pcbl Limited
207778,Ashoka Buildcon Limited
208745,Mishra Dhatu Nigam Limited
132500,Maruti Suzuki India Limited
105242,Dynamatic Technologies Limited
216369,Nhpc Limited
209967,Indus Towers Limited
122287,Kalpataru Projects International Limited
100252,Lakshmi Machine Works Limited
124667,Savita Oil Technologies Limited
100084,Cesc Limited
255331,Tega Industries Limited
132856,Time Technoplast Limited
100247,Kotak Mahindra Bank Limited
217376,Life Insurance Corporation Of India
100400,The Tata Power Company Limited
208196,Garden Reach Shipbuilders & Engineers Limited
100477,Ashok Leyland  Limited
229365,Jio Financial Services Limited
217280,Indian Railways Finance Corp. Limited
222822,Texmaco Rail & Engineering Limited
117300,Gujarat Industries Power Co. Limited
225051,Sbi Cards And Payment Services Limited
132483,Canara Bank
132286,Jindal Steel & Power Limited
304102,Bharti Airtel Limited - Partly Paid Up Shares
105537,Zee Entertainment Enterprises Limited
132488,Divis Laboratories Limited
112599,Adani Enterprises Limtied
216156,Ltimindtree Limited
209979,Aditya Birla Sun Life Amc Limited
103806,Srf Limited
100425,Ambuja Cements Limited
213327,Housing And Urban Development Corporation Limited
112070,Upl Limited
200132,Bajaj Auto Limited
217389,Hdfc Life Insurance Company Limited
126299,Mphasis Limited.
100410,Acc Limited
222276,Ags Transact Technologies Limited
100820,Asian Paints Limited
100103,Bharat Heavy Electricals Limited
207872,Bharti Hexacom Limited
208238,Godrej Properties Limited
232353,Rhi Magnesita India Limited
132822,Vodafone Idea Limited
228460,Bajaj Housing Finance Limited
100620,Great Eastern Shipping Company Limited
208412,Indian Railway Catering And Tourism Corp Limited
100800,Tata Consumer Products Limited
132538,Ultratech Cement Limited
307744,Beml Land Assets Limited
132868,Dlf Limited
130965,Indian Oil Corporation Limited
132777,Info Edge (India) Limited
100302,Piramal Enterprises Limited
132523,Biocon Limited
304701,Campus Activewear Limited
132296,Glenmark Pharmaceuticals Limited
100850,Indian Hotels Company Limited
271867,Laurus Labs Limited
132234,National Aluminium Co. Limited
132370,Ramco Systems Limited
209097,Rites Limited
117334,Samvardhana Motherson International Limited
100550,Siemens Limited
132343,Tvs Motor Company Limited
100295,Vedanta Limited
124208,Aarti Industries Limited
131344,Container Corporation Of India Limited
100480,Cummins India Limited
100124,Dr Reddys Laboratories Limited
208099,Emcure Pharmaceuticals Limited
100495,Escorts Limited
132424,Godrej Consumer Products Limited
126371,Nmdc Limited
132466,Oracle Financial Ser Software Limited
123642,Pi Industries Limited
100331,Pidilite Industries Limited
211337,Polycab India Limited
100483,Tata Communications Limited
132321,Zydus Lifesciences Limited
102355,Balkrishna Industries Limited
111243,Cholamandalam Investment & Finance Co. Limited
280713,Crompton Greaves Consumer Elec. Limited
100096,Dabur India Limited
100086,Exide Industries Limited
117354,Havells India Limited
132659,Idfc Limited
224623,Indian Energy Exchange Limited
220350,L&T Finance Limited
100253,Lic Housing Finance Limited
271118,Mep Infrastructure Developers Limited
132504,Navin Fluorine International Limited
220018,Oberoi Realty Limited
210590,Persistent Systems Limited
132522,Petronet Lng Limited
100387,Shree Cement Limited
100113,Steel Authority Of India Limited
132432,United Spirits Limited
111196,Canfin Homes Limited
316317,Tata Consumer Products Limited
132689,Pvr Limited
218763,Dr. Lal Path Labs Limited
130005,India Cements Limited
132644,Jk Cement Limited
209373,Syngene International Limited
100180,Hdfc Bank Limited
132898,Power Grid Corporation Of India Limited
100490,Bajaj Holdings & Investment Limited
219300,Coal India Limited
100875,Itc Limited
132174,Icici Bank Limited
132281,Hcl Technologies Limited
132215,Axis Bank Limited
132892,Motilal Oswal Financial Services Limited
102355,Balkrishna Industries Limited
208766,Multi Commodity Exchange Of India Limited
207950,Central Depository Services (India) Limited
100124,Dr. Reddy'S Laboratories Limited
100087,Cipla Limited
124494,Ipca Laboratories Limited
132514,Indraprastha Gas Limited
132835,Icra Limited
100125,Eid Parry India Limited
209492,Uti Asset Management Company Limited
100266,Maharashtra Scooters Limited
100407,Swaraj Engines Limited
132268,Accelya Solutions India Limited
100034,Bajaj Finance Limited
100049,Bharat Electronics Limited
132187,Indusind Bank Limited
132454,Bharti Airtel Limited
100570,Tata Motors Limited
100520,Mahindra & Mahindra Limited
100440,Hindalco Industries Limited
279527,Bandhan Bank Limited
132523,Biocon Limited
100325,Reliance Industries Limited
100103,Bharat Heavy Electricals Limited
100114,Titan Company Limited
132868,Dlf Limited
132659,Idfc Limited
113599,Hindustan Copper Limited
123642,Pi Industries Limited
100470,Tata Steel Limited
132286,Jindal Steel & Power Limited
205198,Bajaj Finserv Limited
100696,Hindustan Unilever Limited
100510,Larsen & Toubro Limited
240763,Meta Platforms Registered Shares A
218241,Microsoft Corp
279017,Alphabet Inc A
224342,Amazon Com Inc
